codelettres	numero	categorie	compositeurs	oeuvres	interpretes	remarques
pet	10	jazz	Peterson, Oscar	Oscar Peterson (the Silver Collection)		
pas	1	jazz	Pastorius, Jaco	Jaco Pastorius		
petr	1	jazz	Petrucciani, Michel	Promenade With Duke		
petr	2	jazz	Petrucciani, Michel	Cold Blues	Michel Petrucciani, Roy Mc Clure	pas de pochette à l'arrière
petr	3	jazz	Petrucciani, Michel	Power of Three	Michel Petrucciani, Jim Hall, Wayne Shorter	
petr	4	jazz	Petrucciani, Michel	the blue note years		
petr	5	jazz	Petrucciani, Michel	Michel Petrucciani au théâtre des Champs-Elysées		2 CD
pont	1	jazz	Ponty, Jean-Luc	No Absolute Time		
por	1	jazz	Portal, Michel	Turbulence		
por	2	jazz	Portal, Michel	Men's Land		
por	3	jazz	Portal, Michel	Any Way		
pow	1	jazz	Powell, Bud	the genius of Bud Powell		
pow	2	jazz	Powell, Bud	A Portrait of Thelonius		
pow	3	jazz	Powell, Bud	Jazz Giant		
pow	4	jazz	Powell, Bud	"More unissued" vol 1		
powe	1	jazz	Powell, Boden	Canto On Guitar		
hol	7	jazz	Holiday, Billie	1948 to 1959		
rane	1	jazz	Raney, Jimmy	Duets	Jimmy Raney, Doug Raney	
rane	2	jazz	Raney, Jimmy	Stolen Moments	Jimmy Raney, Doug Raney	
red	1	jazz	Redman, Joshua	Wish		
red	2	jazz	Redman, Joshua	Freedom in the Groove		
rei	1	jazz	Reinhardt, Django	Django Reinhardt & Stéphane Grappelli	Django Reinhardt, Stéphane Grappelli	
gem	1	jazz	Gemsa, Eric	Blues, Rags and Boogies		
rol	1	jazz	Rollins, Sonny	East Broadway Run Down	Sonny Rollins, Freddie Hubbard, Jimmy Garrison, Elvin Jones	
rol	2	jazz	Rollins, Sonny	Sonny Rolling / Brass - Sonny Rolling / Trio		
rol	4	jazz	Rollins, Sonny	Saxophone Colossus		
rol	5	jazz	Rollins, Sonny	Way Out West		
rol	3	jazz	Rollins, Sonny	a night at the "Village Vanguard" - vol 2		
rol	7	jazz	Rollins, Sonny	Dancing in the Dark		
rol	8	jazz	Rollins, Sonny	Live in France 1959	Sonny Rollins, Henry Grimes, Kenny Clarke	
rol	9	jazz	Rollins, Sonny	a night at the "Village Vanguard" - vol 1		
roa	1	jazz	Roach, Max	Survivors		
rei	2	jazz	Reinhardt, Django	Nuages		
roa	2	jazz	Roach, Max	We Insist!		
row	1	jazz	Rowles, Jimmy	In Paris		
rub	1	jazz	Rubalcaba, Gonzalo	Suite 4 y 20		
rub	2	jazz	Rubalcaba, Gonzalo	Images - Live at mt. Fuji	Gonzalo Rubalcaba, Jack DeJohnette, John Patitucci	
rub	3	jazz	Rubalcaba, Gonzalo	Rapsodia		
rub	4	jazz	Rubalcaba, Gonzalo	the Blessing	Gonzalo Rubalcaba, Charlie Haden, Jack DeJohnette	
russ	1	jazz	Russell George	Live in an American Time Spiral	George Russell's New York Band	
sam	1	jazz	Sample, Joe	Collection		
sam	2	jazz	Sample, Joe	Invitation		
sal	1	jazz	Saluzzi, Dino	Once Upon a Time - Far Away in the South		
sand	1	jazz	Sandoval, Arturo	Dream Come True		
sand	2	jazz	Sandoval, Arturo	Just Music		
schu	1	jazz	Schuur, Diana	Diane Schuur and the Count Basie Orchestra	Diane Schuur, the Count Basie Orchestra	
scot	1	jazz	Scott, Tom	Flashpoint		
scor	1	jazz	Scott, Rhoda	A New-York	Rhoda Scott, Thad Jones, Mel Lewis Big Band	
she	1	jazz	Shepp, Archie	Trouble in Mind	Archie Shepp, Horace Parlan	
sid	1	jazz	Sidran, Ben	Too Hot to Touch		
sin	3	jazz	Sinatra, Frank	Sinatra & Strings		
sin	4	jazz	Sinatra, Frank	The Main Event		
scla	1	jazz	Sclavis, Louis	Ellington on the Air	Louis Scavis Sextet	
scla	2	jazz	Sclavis, Louis	Chine		
scla	3	jazz	Sclavis, Louis	Clarinettes		
sil	1	jazz	Silver, Horace	Blowin' the Blues Away		
sim	1	jazz	Simone, Nina	My baby just cares for me		
sim	4	jazz	Simone, Nina	Let it be me		
she	2	jazz	Shepp, Archie	Goin' Home	Archie Shepp, Horace Parlan	
she	3	jazz	Shepp, Archie	Looking at Bird	Archie Shepp, Niels-Henning Orsted Pedersen	
sho	1	jazz	Shorter, Wayne	JuJu	Wayne Shorter, Mc Coy Tyner, Reginald Workman, Elvin Jones	
six	1	jazz	Sixun	Lunatic Taxi		
sin	2	jazz	Sinatra, Frank	Strangers in the Night		
slim	1	jazz	Slim, Memphis	Tribute to Big Bill Broonzy, Leroy Carr, Cow Cow Davenport, Cuatis Jones, Jazz Gillum		
smi	2	jazz	Smith, Jimmy	The Cat		
solm	1	jazz	Solal, Martial	Live 1959/85 - The Best		
solm	2	jazz	Solal, Martial	Martial Solal, Toots Thielemans	Martial Solal, Toots Thielemans	
solm	3	jazz	Solal, Martial	Martial Solal - Didier Lockwood	Martial Solal, Didier Lockwood	
solm	4	jazz	Solal, Martial	Martial Solal improvise pour France Musique		2 CD
solm	5	jazz	Solal, Martial	Solal Series - The Solosolal		
spa	1	jazz	Spann, Otis	Otis Spann is the Blues		
sps	1	jazz	Supersax	Chasin' the Bird		
sti	1	jazz	Stitt, Sonny	Back to my own home town		
sun	1	jazz	Sun Ra, Arkestra	Sunrise in Different Dimensions		
sur	1	jazz	Surman, John	the Amazing Adventures of Simon Simon	John Surman, Jack DeJohnette	
swi	2	jazz	Swingle Singers	Jazz Sébastien Bach		
tat	2	jazz	Tatum, Art	the V-Discs		rayé
tat	4	jazz	Tatum, Art	the Tatum Group Masterpieces	Art Tatum, Ben Webster, Red Callender, Bill Douglass	
tat	5	jazz	Tatum, Art	Piano Solo Private Sessions October 1952 - New York		
tay	1	jazz	Taylor, Cecil	Conquistador!		
