codelettres	numero	categorie	compositeurs	oeuvres	interpretes	remarques
wall	1	jazz	Waller, Fats	Piano masterworks vol.1 : 1922-1929		
brya	1	jazz	Bryars, Gavin	Vita Nova : Incipit Vita Nova, Glorious Hill, Four Elements, Sub Rosa		
trad	1	tradi		Chants traditionnels russes		
jsb	77	classique	Bach, Jean-Sébastien	Passion selon St-Matthieu	la petite bande - Gustav Leonhardt	coffret 3 CD + 1 livret
bee	5	opera	Beethoven, Ludwig von	Fidelio	Hildegard Behrens - Peter Hofmann - Hans Sotin - Chicago Symphony Orchestra & Chorus - Sir Georg Solti	
bel	1	opera	Bellini, Vincenzo	Norma	Maria Callas - orchestre du théâtre de la Scala	coffret : 3 cd + livret  - Boite cassée
bel	2	opera	Bellini, Vincenzo	Les Puritains	Joan Sutherland - Luciano Pavarotti - London Symphony Orchestra	3 Cds
berg	1	opera	Berg, Alban	Lulu	Teresa Stratas - Yvonne Minton - Kenneth Riegel - Orchestre de l'Opéra de Paris - Pierre Boulez	
berg	3	opera	Berg, Alban	Wozzeck	Eberhard Waechter - Anja Silja - Wiener Philharmoniker - Christoph von Dohnanyi	
ber	6	opera	Berlioz, Hector	La damnation de Faust	Veasey - Gedda - Bastin - Van Allan - London Symphony Orchestra - Sir Colin Davis	
jan	4	opera	Janacek, Leos	Kata Kabanova	Wiener Philharmoniker - Sir Charles Mackerras	
ber	8	classique	Berlioz, Hector	Roméo et Juliette	Boston Symphony Orchestra - Seiji Ozawa	coffret 2 Cd + livret
ber	10	classique	Berlioz, Hector	L'enfance du Christ	Janet Baker - Eric Tappy - Thomas Allen - London Symphony Orchestra - Sir Colin Davis	
ber	11	opera	Berlioz, Hector	Cléopâtre	Janet Baker - Sheila Armstrong - Josephine Veasey - London Symphony Orchestra - Sir Colin Davis	
ada	4	opera	Adams, John	Nixon in China	Orchestra of St. Luke's, Edo de Waart	
ber	15	opera	Berlioz, Debussy	Berlioz : La Damnation de Faust - Debussy : la Damoiselle élue	Boston Symphony Orchestra, Charles Munch	2 CDs
ber	16	opera	Berlioz, Hector	Les Troyens	Choeur et orchestre symphonique de Montréal, Charles Dutoit	4 CDs
pou	9	classique	Poulenc, Francis	Concerto pour deux pianos, concert champêtre	Poulenc, Février, Duruflé, Prêtre	
biz	4	opera	Bizet, Georges	Carmen	Maria Callas - Orchestre du Théâtre national de Paris, Georges Prêtre	2 CDs
biz	5	opera	Bizet, Georges	Les Pêcheurs de Perles	Barbara Hendricks - Choeur et Orchestre de Toulouse, Michel Plasson	2 CDs
biz	7	opera	Bizet, Georges	Carmen	Victoria de Los Angeles - Choeurs et Orchestre National de la Radiodiffusion Française, Sir Thomas Beecham	3 CDs
jsb	78	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.4	Leonhardt-Consort, Gustav Leonhardt	1ere liste rayée dès le début CD2
jsb	82	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.5	Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	92	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol. 6	Leonhardt-Consort, Gustav Leonhardt	Coffret - 2CD
jsb	93	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.7	Concentus musicus Wien, Nokolaus Harnoncourt	Coffret - 2CD
ive	4	classique	Ives, Charles	Sonate pour piano N° 2	Per Salo, Jesper Jorgensen, Toke Lund Christiansen	c'est quoi ces noms ?
sco	3	classique	Schönberg, Arnold	L'oeuvre pîanistique	Maurizio Pollini	
mon	5	jazz	Monk, Thelonious	The Composer		
jobi	1	jazz	Jobim, Antonio Carlos	The Composer plays		
min	10	jazz	Mingus, Charlie	Spontaneous Compositions and Improvisations		
bor	5	opera	Borodine, 	Le Prince Igor	Sofia Festival Orchestra, Emil Tchakarov	3 cd + livret
bri	16	opera	Britten Benjamin	a midsummer's night's dream 	London symphony orchestra, sir Collin Davis	2 CD + livret 
bri	9	opera	Britten Benjamin	Peter Grimes	Orchestra and chorus of the royal opera house, Benjamin Britten	3 cd + livret
bus	1	opera	Busoni, Ferrucio	Doktor Faust	Chor des Bayerischen Rundfunks, Symphonie Orchester des Bayerischen Rundfunks, Ferdinand Leitner	
chab	2	opera	Chabrier, Emmanuel	l'étoile	orchestre et choeur de l'opéra de Lyon, John Eliot Gardiner	2 cd + livret
comm	2	varietes	Commune (chants communards)	chants communards		
con	1	varietes	Conte, Paolo	Nord (Le Chant du Monde)		
con	2	varietes	Conte, Paolo	Laser Plus 8		
con	3	varietes	Conte, Paolo	Questa sporcq vita - Sono qui con te sempre piu solo - ...		
con	4	varietes	Conte, Paolo	Aguaplano		
cors	1	varietes	Chants traditionnels corses	Messa Corsa in Rusiu : Messe des vivants, messe des défunts	Charles Rocchi, Pierre Oppisi, Philippe Rocchi, Jean-Toussaint Rocchi, Jean-Benoït Moretti	
coun	1	varietes	Country Collection	Country Collection, vol.1		
cpb	1	varietes	Chanson Plus Bifluorée	Pourquoi les girafes?		
dadi	1	varietes	Dadi	la Guitare à Dadi, vol.1		
dao	1	varietes	Daho, Etienne	Collection		
delj	1	varietes	Delafose, John	Joe Pete Got Two Women		
delp	1	varietes	Delpech, Michel	Les Années Barclay : Chez Laurette, Pour un flirt, les Divorcés, Le Chasseur, le Loir et Cher		2 CD
dspr	1	varietes	Desproges, Pierre	les réquisitoires, vol. zéro		
dspr	2	varietes	Desproges, Pierre	Chroniques de la haine ordinaire		
char	6	opera	Charpentier, Marc-Antoine	Médée	Choeurs et Orchestre LES ARTS FLORISSANTS (Christie)	3 cd (boîte de 4) et 1 livret
chs	15	opera	Chostakovich, Dimitri	Lady Macbeth Of Mtensk	Galina Vishnevskaya, Nicolai Gedda, Dimiter Petkov / Mstislav Rostopovich	2 cd + livret
chau	4	opera	Chausson, Ernest	Le Roi Arthus	Zylis-Gara, Quilico, Winbergh / Armin Jordan	3 cd (boîte de 4) + livret
cim	1	opera	Cimarosa, Domenico	Il Pittor Parigino	Salieri Chamber Orchestra / Tamas Pal	2 cd + livret
wam	1	jazz	Waters, Muddy	The Muddy Waters Collection		
gosp	1	jazz	22 Gospel Greats	Good News		
sauc	1	jazz	Saucy songs	Saucy Songs		
compil	1	compil		RNB Collection		
bens	1	jazz	Benson, George	Compact Jazz		
compil	2	compil	Futur Jazz	oeuvres de jazz de futurs grands		
deb	6	opera	Debussy Claude	Pelléas et Mélisande	Jacques Jansen - Irène Joachim - choeur et orchestre Roger Desormière	
deb	8	opera	Debussy Claude	Pelléas et Mélisande	Karajan - Berliner Philharmoniker - Von Stade - Stilwell	
deli	1	classique	Delibes, Leo	Coppélia	National Philharmonic Orchestra - Richard Bonynge	c'est un ballet ...
deli	2	classique	Delibes, Leo	Le Roi l'a dit - l'Omelette à la Follembûche - le serpent à plumes	Choeurs et orchestre radio-lyriques - A. Girard	opéra-comique
duka	2	opera	Dukas, Paul	Ariane et Barbe-Bleue	Katherine Ciesinski - Mariana Paunova - Gabriel Bacquier - choeur et orchestre philharmonique de radio France - Armin Jordan	
doni	1	opera	Donizetti, Gaetano	Lucia di Lammermoor	Joan Sutherland - Luciano Pavarotti - choeur et orchestre de The Royal Opera House, Covent Garden - Richard Bonynge	
jsb	97	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.11	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	99	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.13	Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	94	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.8	Concentus musicus Wien, Nokolaus Harnoncort	Coffret - 2CD
jsb	95	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.9	Concentus musicus Wien, Nikolaus Harnoncourt. Leonhardt-Consort, Gustav Leonhardt	Coffret - 2CD
jsb	96	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.10	Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	98	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.12	Concentus musicus Wien, Nikolaus Harnoncourt. Leonhardt-Consort, Gustav Leonhardt	Coffret - 2CD
jsb	100	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.14	Leonhardt-Consort, Gustav Leonhardt	Coffret - 2CD
jsb	101	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.15	Concentus musicus Wien, Nikolaus Harnoncourt	
jsb	102	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.16	Concentus musicus Wien	Coffret - 2CD
jsb	103	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.17	Concentus musicus Wien, Nikolaus Harnoncourt. Leonhardt-Consort, Gustav Leonhardt	Coffret - 2CD
jsb	104	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.18	Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
ene	1	opera	Enesco, Georges	Oedipe	José Van Dam - Orchestre Philharmonique de Monte-Carlo, Lawrence Foster	2 CD + livret
fau	7	opera	Fauré, Gabriel	Pénélope	Jessye Norman, Alain Vanzo, Jocelyne Taillon, José Van Dam, Philippe Huttenlocher - Orchestre Philharmonique de Monte-Carlo, Charles Dutoit	2 CDs + livret
ger	4	opera	Gershwin, George	Porgy and Bess	Cleveland Orchestra & Chorus, Lorin Maazel	3 CDs + livret
gio	1	opera	Giordano, Umberto	Andréa Chénier	Luciano Pavarotti, Montserrat Caballé - National Philharmonic Orchestra, Riccardo Chailly	2 CDs + livret
glss	5	opera	Glass, Philip	La Belle et la Bête (d'après le film de Jean Cocteau)	The Philip Glass Ensemble, Michael Riesman	2 CDs + livret
gli	2	opera	Glinka, Mikhail	Roulan et Ludmila	Solistes, Choeurs et Orchestre du Théâtre Bolchoï de Moscou, Yuri Simonov	3 CDs
glu	3	opera	Gluck, Christoph Willibald	Alceste	Jessye Norman, Nicolai Gedda, Tom Krause, Bernd Weikl, Siegmund Nimsgern - Chor und Symphonieorchester des Bayerischen Rundfunks, Serge Baudo	3 CDs
glu	4	opera	Gluck, Christoph Willibald	Orfeo ed Euridice	Marjanne Kweksilber, Rene Jacobs, Magdalena Falewicz - Collegium Vocale - La Petite Bande, Sigiswald Kuijken	
gou	4	opera	Gounod, Charles	Mireille	Alain Vanzo, Andrée Esposito, Gabriel Bacquier - Choeurs de la RTF et Orchestre Radio-Lyrique, Jules Gressier	CD double durée
gou	1	opera	Gounod, Charles	Faust	Cheryl Studer, Richard Leech, José Van Dam, Thomas Hamspon - Choeur de l'Armée Française - Choeur et Orchestre du Capitole de Toulouse, Michel Plasson	3 CDs + livret
gou	2	opera	Gounod, Charles	Romeo et Juliette	Alfredo Kraus, Catherine Malfitano - Choeur Régional Midi-Pyrénées - Choeur et Orchestre du Capitole de Toulouse, Michel Plasson	3 CDs + livret
gou	3	opera	Gounod, Charles	Faust	Nicolai Gedda, Victoria de Los Angleles, Boris Christoff - Choeur et Orchestre du Théâtre National de l'Opéra de Paris, André Cluytens	3 CDs
gri	2	opera	Grieg, Edvard	Peer Gynt - Sigurd Jorsalfar	Barbara Bonney, Marianne Eklöf, Kjelle Magnus Sandve, Urban Malmberg, Wenche Foss, Toralv Maurstad - Gothenburg Symphony Orchestra and Chorus, Neeme Järvi	2 CDs + livret
hae	13	opera	Händel, Georg Fiedrich	Saul	Dietrich Fischer-Dieskau, Anthony Rolfe Johnson, Paul Esswood, Julia Varady, Elizabeth Gale - Konzertvereinigung Wiener Staatsopernchor - Concentus Musicus Wien, Nikolaus Harnoncourt	2 CDs
hae	16	opera	Händel, Georg Fiedrich	La Resurrezione	Kirkby, Kwella, Watkinson, Partridge, Thomas - The Academy of Ancient Music, Christopher Hogwood	2 CDs + livret
hae	18	opera	Händel, Georg Fiedrich	Giulio Cesare	Concerto Köln, René Jacobs	4 CDs + livret
hae	2	opera	Händel, Georg Fiedrich	Solomon	Watkinson, Argenta, Hendricks, Rolfejohnson - Monteverdi Choir - English Baroque Soloists, John Eliot Gardiner	2 CDs + livret
hae	20	opera	Händel, Georg Fiedrich	Scipion	Derek Lee Ragin, Sandrine Piau, Doris Lamprecht, Olivier Lallouette, Vanda Tabery, Guy Flechter - Les Talents Lyriques, Christophe Rousset	3 CDs + livret 
hon	8	opera	Honegger, Arthur	Le Roi David	Eda-Pierre, Senn, Raffali, Mesguich, Gaillard - Czech Philharmonic Chorus and Orchestra, Sezrge Baudo	1 CD (au lieu de 2)
hon	4	opera	Honegger, Arthur	Jeanne d'Arc au bûcher	Marthe Keller, Georges Wilson - Choeur de Radio France - Orchestre National de France, Seiji Ozawa	1 CD + livret
hump	1	opera	Humperdinck, Engelbert	Hänsel und Gretel	Brigitte Fassbänder, Lucia Popp - Wiener Philharmoniker, Sir Georg Solti	2 CDs + livret
jan	7	opera	Janacek, Leos	The Cunning Little Vixen	Lillian Watson, Robert Tear, Thomas Allen, Diana Montague, Gwynne Howell - Orchestra and Chorus of the Royal Opera House, Covent Garden - Taras Bulba Philharmonia Orchestra, Simon Rattle	2 CDs + livret
jan	8	opera	Janacek, Leos	Jenufa	Elisabeth Söderström, Wieslav Ochman, Petr Dvorsky, Eva Randova, Lucia Popp - Wiener Philharmoniker, Sir Charles Mackerras	2 CDs + livret
jan	9	opera	Janacek, Leos	Souvenirs de la maison des morts	Jedlicka, Zahradnicek, Zidek, Zitek - Wiener Staatsopernchor - Wiener Philharmoniker, Sir Charles Mackerras	2 CDs + livret
jsb	105	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.19	Leonhardt-Consort, Gustav Leonhrdt	
jsb	106	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.20	Concentus musicus Wien, Nikolaus Harnoncourt. Leonhardt-Consort, Gustav Leonhrdt	Coffret - 2CD
jsb	107	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.21	Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	108	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.22	Concentus musicus Wien, Nikolaus Harnoncourt. Leonhardt-Consort, Gustav Leonhrdt	Coffret - 2CD
jsb	109	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.23	Leonhardt-Consort, Gustav Leonhrdt. Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	110	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.24	Concentus musicus Wien, Nikolaus Harnoncourt. Leonhardt-Consort, Gustav Leonhrdt	
jsb	111	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.25	Concentus musicus Wien, Nikolaus Harnoncourt. Leonhardt-Consort, Gustav Leonhrdt	Coffret - 2CD
jsb	112	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.26	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	
jsb	113	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.27	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	114	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.28	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	115	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.29	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD. Manque CD1
jsb	116	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.30	Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	117	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.31	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	
jsb	118	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.32	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	119	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.33	Leonhardt-Consort, Gustav Leonhardt	Coffret - 2CD
jsb	120	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.34	Concentus musicus Wien, Nikolaus Harnoncourt	
jsb	121	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.35	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	122	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.36	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	123	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.37	Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	124	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.38	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	125	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.39	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	126	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.40	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	127	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.41	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	128	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.42	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	129	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.43	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
jsb	130	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.44	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	
jsb	131	opera	Bach, Jean-Sébastien	Das Kantatenwerk vol.45	Leonhardt-Consort, Gustav Leonhardt. Concentus musicus Wien, Nikolaus Harnoncourt	Coffret - 2CD
leha	1	opera	Lehar, Franz	Le pays du sourire	Elisabeth Schwarzkopf, Erich Kunz, Nicolai Gedda - Philarmonia Orchestra & Chorus, Otto Ackermann	2 CDs
leha	2	opera	Lehar, Franz	La veuve joyeuse	Elisabeth Schwarzkopf - Philharmonia Orchestra & Chorus, Lovro von Matacic	2 CDs
lige	3	opera	Ligeti, Gyorgy	Le Grand Macabre	Elgar Howarth	2 CDs + livret
mcar	1	opera	MacCartney, Paul	Liverpool Oratorio	Kiri te Kanawa, Sally Burgess, Jerry Hadley, Willard White - Royal LIverpool Philharmonic Orchestra & Choir - Choristers of Liverpool Cathedral, Carl Davis	2 CDs - Mais qui a bien pu acheter ça ?...
mag	5	opera	Magnard, Albéric	Guercoeur	Hildegard Behrens, José van Dam - Orfeon Donostiarra, Orchestre du Capitole de Toulouse, Michel Plasson	3 CDs + livret
masc	1	opera	Mascagni - Leoncavallo	Mascagni : Cavalleria Rusticana - Leoncavallo : I Pagliacci	Montserrat Caballé, José Carreras, renata Scotto - Ambrosian Opera Chorus, Philharmonia Orchestra, Riccardo Muti	2 CDs
mat	10	opera	Martinu, Bohuslav	The Greek Passion	Philharmonic Orchestra de Brno, Sir Charles Mackerras	2 CDs
mass	1	opera	Massenet, Jules	Manon	Ileana Cotrubas, Alfredo Kraus, Gino Quilico, José van Dam - Choeurs et Orchestre du Capitole, Michel Plasson	2 CDs + livret
mass	3	opera	Massenet, Jules	Werther	Georges Thill, Ninon Vallin - Choeurs et Orchestre du Théâtre National de l'Opéra-Comique, Elie Cohen	2 CDs
men	12	opera	Mendelssohn, Felix	Elias	Edith Wiens, Carolyn Watkinson, Keith Lewis, Benjamin Luxon - Choeurs et Orchestre de la Fondation Gulbenkian de Lisbonne, Michel Corboz	3 CDs + livret
mess	1	opera	Messager, André	Véronique	Mady Mesplé, Michel Dens - Orchestre de l'Association des Concerts Lamoureux, Jean-Claude Hartemann	
mey	1	opera	Meyerbeer, Giacomo	Les Huguenots	Choeurs de l'Opéra de Montpellier - Orchestre Philharmonique de Montpellier, Cyril Diederich	4 CDs + livret
mvd	2	opera	Monteverdi	Il Ritorno d'Ulisse in Patria	Nikolaus Harnoncourt, Concentus Musicus Wien	3 cd + livret
mvd	1	opera	Monteverdi	L'Orfeo	Nikolaus Harnoncourt	2 cd + livret
scm	32	classique	Schumann, Robert	Scènes du Faust de Goethe	Terfel, Mattila, Bonney, Graham, Abbado	2 Cds
devo	1	varietes	Devos	à tort ou à raison		
devo	2	varietes	Devos	un ange passe		
devo	3	varietes	Devos	l'artiste		
devo	4	varietes	Devos	je roule pour vous		
dian	1	varietes	Diamond, Neil	Jonathan Livingston Seagull		
dib	1	jazz	Dibango, Manu	La fête à manu		
dtl	1	varietes	Duteil, Yves	virages, la tarentelle		
dtl	2	varietes	Duteil, Yves	coté scène		
dtl	3	varietes	Duteil, Yves	ligne de vie		
dufr	1	varietes	Dufresne, Diane	Top secret		
durut	1	varietes	Durutti (the durutti column)	valuable passages		
dutr	2	varietes	Dutronc, Jacques	Et moi et moi		
dutr	3	varietes	Dutronc, Jacques	au casino		
dutr	4	varietes	Dutronc, Jacques	au casino		
est	2	varietes	Ester, Pauline	De l'autre coté		
eich	1	varietes	Eicher, Stephan	Engelberg		
eich	2	varietes	Eicher, Stephan	Carcassonne		
elv	1	varietes	Elvis Preley	La légende		
elv	2	varietes	Elvis Preley	Loving You		
elv	4	varietes	Elvis Preley	Elvis goes baroque		
mou	4	opera	Moussorgsky, Modest	Boris Godounov	Verdernikov - Matorin - Piavko - Arkhipova - Masurok - Solokov - Fedoseyev	
mou	7	opera	Moussorgsky, Modest	airs de basse de l'opéra russe	orchestre de la cinématographie soviétique - anatoli safiulin	2 CD
mou	13	opera	Moussorgsky, Modest	Boris Godounov	Boris Christoff - nicolai Gedda - Eugenia Zareska - Kim Borg	
mou	14	opera	Moussorgsky, Modest	la Khovanshchina	Gadjev - Ghiaurov - Ghiuselev - Kaludov - Miltcheva	
moz	85	opera	Mozart, Wolfgang Amadeus	Don Giovanni	Siepi - Dermota - Corena - Danco - Della Casa - Gueden - Wiener Philharmoniker	boîtier abîmé
moz	86	opera	Mozart, Wolfgang Amadeus	Bastien et Bastienne	Gruberova - Cole - Polgar - Franz Liszt Chamber Orchestra	
moz	98	opera	Mozart, Wolfgang Amadeus	Idomeno	Hollweg - Schmidt - Yakar - Palmer ... Harnoncourt	
moz	99	opera	Mozart, Wolfgang Amadeus	La Clemenza di Tito	Langridge - Popp - Ziesak - Murray ... Harnoncourt	
moz	102	opera	Mozart, Wolfgang Amadeus	Les Noces de Figaro	van Dam - Cotrubas - Kraus - Tomowa - Wiener Philharmoniker - Karajan	3 CD + gros livret
moz	103	opera	Mozart, Wolfgang Amadeus	Les Noces de Figaro	Kanawa - Popp - von Stade - Ramey - Allen - Moll - Sir Georg Solti	3CD + 1 livret
moz	104	opera	Mozart, Wolfgang Amadeus	les Noces de Figaro	Schwarzkopf - Seefried - Jurinac - Kunz - Karajan	2CD +1 livret
moz	106	opera	Mozart, Wolfgang Amadeus	l'enlèvement au sérail	Marshall - Hollweg - Simoneau - Unger - Frick - Sir Thomas Beecham	
moz	107	opera	Mozart, Wolfgang Amadeus	la Clemenza di Tito	Berganza - Krenn - Popp - Casula - Fassbänder	
moz	108	opera	Mozart, Wolfgang Amadeus	Don Giovanni	Raimondi - Te Kanawa - Choeur et orchestre de l'opéra de Paris - Lorin Maazel	Coffret 3 CDs, le CD n°1 est manquant
moz	109	opera	Mozart, Wolfgang Amadeus	Il Re Pastore	Mei - Nielsen - Murray - Sacca - Schäfer - Harnoncourt	2 CD
moz	110	opera	Mozart, Wolfgang Amadeus	Cosi Fan Tutte	Schwarzkopf - Merriman - Simoneau - Panerai - Bruscantini - Otto ... Karajan	Pas de livret
moz	111	opera	Mozart, Wolfgang Amadeus	La Flûte Enchantée	Streit - Bonney - Jo - Cachemaille - Sigmundsson ... Ostman	
moz	112	opera	Mozart, Wolfgang Amadeus	la Flûte Enchantée	Price - Serra- Moll - Adam - Staatskapelle Dresden - Sir Colin Davis	
moz	113	opera	Mozart, Wolfgang Amadeus	Cosi Fan Tutte	Schwarzkopf - Ludwig - Kraus - Taddei - Steffek - Beery - Philharmonia Orchestra - Karl Böhm	
moz	115	opera	Mozart, Wolfgang Amadeus	La Clemenza di Tito	Baker - Minton - von Stade - Popp - Burrows - Lloyd ... Sir Colin Davis	
moz	116	opera	Mozart, Wolfgang Amadeus	Don Giovanni	Allen - Vaness - Gale - Mewis - London Philharmonik Orchestra - Bernard Haitink	
moz	117	opera	Mozart, Wolfgang Amadeus	les Noces de Figaro	taddei - Schwarzkopf - Moffo - Cossotto - Wächter... Carlo Maria Giulini	
off	1	opera	Offenbach, Jacques	les contes d'Hoffman	Domingo - Tourangeau - Sutherland ... orchestre de la Suisse romande - Richard Bonynge	
off	2	opera	Offenbach, Jacques	les Brigands	Raphanel - Alliot-Lugaz - Raffalli - Treempont ... opéra de Lyon - John Eliot Gardiner	
off	3	opera	Offenbach, Jacques	la Vie Parisienne	Régine Crespin - Mady Mesplé - orchestre du capitole de Toulouse - Michel Plasson	2 CD
elsa	1	varietes	Elsa	Douce violence		
enzo	1	varietes	Enzo Enzo	Enzo Enzo		
espe	1	varietes	Trio Esperança	A capelo do Brasil		
est	1	varietes	Ester, Pauline	Le monde est fou		
fair	1	varietes	Fairuz	Immortal songs		
fair	2	varietes	Fairuz	Fairuz at the Royal Festival Hall (London)		
farm	1	varietes	Farmer Mylène	Pourvu qu'elles soient douces		
farm	2	varietes	Farmer Mylène	Ainsi soit je...		
farm	3	varietes	Farmer Mylène	En concert		
farm	4	varietes	Farmer Mylène	L'autre...		
feldm	1	varietes	Feldman, François	Indigo		
fern	1	varietes	Fernandel			
per	2	opera	Pergolesi, Giovanni Battista	La Serva Padrona	Katalin Farkas, Joszef Gregor, Capella Savaria, Pal Nemeth	Coffret : 1 seul disque 
vieu	2	classique	Vieuxtemps, Henry	Concerti pour violon 5, 6 et 7	Keylin, Misha	
trad	42	tradi	The Chieftains			
oper	2	compil		Place à l'Opéra		2 CDs
pais	1	opera	Paisiello, Giovanni	Le Barbier de Séville	Krisztina Laki, Denes Gulyas, Istvan Gati, Joszef Gregor, Sandor Solyom-Nagy - Hungarian state orchestra, Adam Fischer	2 CDs + livret
pfi	1	opera	Pfitzner, Hans	Palestrina	Nicolai Gedda, Dietrich Fischer-Dieskau, Bernd Weikl, Karl Ridderbusch, Helen Donath - Chor des Bayerischen Rundfunks, Symphonie-Orchester des Bayerischen Rundfunks, Rafael Kubelik	3 CDs
pic	1	opera	Piccini, Niccolo	L'Americano	Simon Edwards, Patrizia Ciofi, Domenico Colaianni, Giovanna Donadini - Orchestra Internazionale D'Italia, Eric Hull	2 CDs + livret
fert	1	varietes	Ferrat, Jean	Ferrat chante Aragon		
fert	2	varietes	Ferrat, Jean	La Commune, Camarade, Nuit et Brouillard, Ma France, Que serai-je sans toi, la Montagne, Potemkine, Deux enfants au soleil, Ma môme...		2 CD
fert	3	varietes	Ferrat, Jean	Je ne suis qu'un cri		
fere	1	varietes	Ferré, Léo	La Mémoire et la mer - Poètes, vos papiers - Avec le temps - Ni Dieu Ni Maître...		
fers	1	varietes	Fersen, Thomas	Les Ronds de Carottes		
galf	2	varietes	Gall, France	les années musique (18 succès)		
fil	1	film	divers	Les plus célèbres musiques de film...		
fil	2	film	Morricone, Ennio	Les plus belles musiques d'Ennio Morricone, vol.1 (rouge)		
fil	3	film	Morricone, Ennio	Les plus belles musiques d'Ennio Morricone, vol.2 (bleu)		
